timestamp,distance_tracker,distance_wheelchair_FT,distance_wheelchair_v5,distance_drone_FT,distance_drone_v5,distance_range
3.0539,2.5762,,,,,
3.0639,2.5762,,,,,
3.0739,2.5688,,,,,
3.0839,2.5688,,,,,
3.0939,2.5688,,,,,
3.1039,2.5586,,,,,
3.1139,2.5586,,,,,
3.1239,2.5586,,,,,
3.1339,2.5457,,,,,
3.1439,2.5457,,,,,
3.1539,2.5457,,,,,
3.1639,2.5457,,,,,
3.1739,2.5302,,,,,
3.1839,2.5302,,,,,
3.1939,2.5302,,,,,
3.2039,2.5121,,,,,
3.2139,2.5121,,,,,
3.2239,2.5121,,,,,
3.2339,2.4915,,,,,
3.2439,2.4915,,,,,
3.2539,2.4915,,,,,
3.2639,2.4915,,,,,
3.2739,2.4684,,,,,
3.2839,2.4684,,,,,
3.2939,2.4684,,,,,
3.3039,2.4431,,,,,
3.3139,2.4431,,,,,
3.3239,2.4431,,,,,
3.3339,2.4159,,,,,
3.3439,2.4159,,,,,
3.3539,2.4159,,,,,
3.3639,2.4159,,,,,
3.3739,2.3871,,,,,
3.3839,2.3871,,,,,
3.3939,2.3871,,,,,
3.4039,2.3574,,,,,
3.4139,2.3574,,,,,
3.4239,2.3574,,,,,
3.4339,2.3274,,,,,
3.4439,2.3274,,,,,
3.4539,2.3274,,,,,
3.4639,2.3274,,,,,
3.4739,2.2979,,,,,
3.4839,2.2979,,,,,
3.4939,2.2979,,,,,
3.5039,2.2691,,,,,
3.5139,2.2691,,,2.4911,,
3.5239,2.2691,,,2.4911,,
3.5339,2.2415,,,2.4911,,
3.5439,2.2415,,,2.4911,,
3.5539,2.2415,,,2.4727,,
3.5639,2.2415,,,2.4727,,
3.5739,2.2152,,,2.4727,,
3.5839,2.2152,,,,,
3.5939,2.2152,,,,,
3.6039,2.19,,,,,
3.6139,2.19,,,,,
3.6239,2.19,,,,,
3.6339,2.1656,,,,,
3.6439,2.1656,,,,,
3.6539,2.1656,,,2.3818,,
3.6639,2.1656,,,2.3818,,
3.6739,2.1417,,,2.3818,,
3.6839,2.1417,,,2.3512,,
3.6939,2.1417,,,2.3512,,
3.7039,2.1179,,,2.3512,,
3.7139,2.1179,,,2.3291,,
3.7239,2.1179,,,2.3291,,
3.7339,2.0937,2.3278,,2.3291,,
3.7439,2.0937,2.3278,,2.3291,,
3.7539,2.0937,2.3278,,,,
3.7639,2.0937,2.3278,,,,
3.7739,2.0689,2.2978,,,,
3.7839,2.0689,2.2978,,,,
3.7939,2.0689,2.2978,,,,
3.8039,2.0433,2.2841,,,,
3.8139,2.0433,2.2841,,2.259,,
3.8239,2.0433,2.2841,,2.259,,
3.8339,2.0171,2.2441,,2.259,,
3.8439,2.0171,2.2441,,2.259,,
3.8539,2.0171,2.2441,,,,
3.8639,2.0171,2.1982,,,,
3.8739,1.9902,2.1982,,,,
3.8839,1.9902,2.1982,,,,
3.8939,1.9902,2.1982,,,,
3.9039,1.963,,,,,
3.9139,1.963,,,2.1425,,
3.9239,1.963,,,2.1425,,
3.9339,1.9355,,2.2944,2.1425,,
3.9439,1.9355,,2.2944,,,
3.9539,1.9355,,2.2944,,,
3.9639,1.9355,,2.2944,,,
3.9739,1.9083,,2.2944,,,
3.9839,1.9083,,2.2944,,,
3.9939,1.9083,2.0783,,,,
4.0039,1.8812,2.0783,,,,
4.0139,1.8812,2.0524,,,,
4.0239,1.8812,2.0524,,,,
4.0339,1.8547,2.0524,,,,
4.0439,1.8547,2.0182,,,,
4.0539,1.8547,2.0182,,,,1.9668
4.0639,1.8547,2.0182,,,,1.9668
4.0739,1.8288,,,,,1.9668
4.0839,1.8288,,,,,1.9668
4.0939,1.8288,,,,,1.9668
4.1039,1.8034,,,,,1.9668
4.1139,1.8034,,,,,1.9668
4.1239,1.8034,,,,,1.9668
4.1339,1.7785,,,,,1.9668
4.1439,1.7785,,,,,1.9668
4.1539,1.7785,,,,,1.9668
4.1639,1.7785,,,,,1.9668
4.1739,1.7537,,,,,1.9668
4.1839,1.7537,,,,,1.8616
4.1939,1.7537,,,,,1.8616
4.2039,1.7291,,,,,1.8616
4.2139,1.7291,,,,,1.8616
4.2239,1.7291,,,,,1.8616
4.2339,1.7043,,,,,1.8616
4.2439,1.7043,,,,,1.8616
4.2539,1.7043,,,,,1.8616
4.2639,1.7043,,,,,1.8616
4.2739,1.6793,,,,,1.7574
4.2839,1.6793,,,,,1.7574
4.2939,1.6793,,,,,1.7574
4.3039,1.6539,,,,,1.7574
4.3139,1.6539,,,,,1.7574
4.3239,1.6539,,,,,1.7574
4.3339,1.6281,,,,,1.7574
4.3439,1.6281,,,,,1.7574
4.3539,1.6281,,,,,1.7574
4.3639,1.6281,,,,,1.7574
4.3739,1.6021,,,,,1.6854
4.3839,1.6021,,,,,1.6854
4.3939,1.6021,,,,,1.6854
4.4039,1.5759,,,,,1.6854
4.4139,1.5759,,,1.6756,,1.6854
4.4239,1.5759,,,1.6756,,1.6854
4.4339,1.5497,,,1.6756,,1.6854
4.4439,1.5497,,,1.6756,,1.6854
4.4539,1.5497,,,,,1.6854
4.4639,1.5497,,,,,1.6854
4.4739,1.5236,,,,,1.6854
4.4839,1.5236,,,,,1.6854
4.4939,1.5236,,,,,1.6854
4.5039,1.4978,,,,,1.5806
4.5139,1.4978,,,,,1.5806
4.5239,1.4978,,,,,1.5806
4.5339,1.4721,,,,,1.5806
4.5439,1.4721,,,,,1.5806
4.5539,1.4721,,,,,1.5806
4.5639,1.4721,1.5186,,,,1.5806
4.5739,1.4468,1.5186,,,,1.5806
4.5839,1.4468,1.5186,,,,1.4754
4.5939,1.4468,1.5186,,,,1.4754
4.6039,1.4218,1.5186,,,,1.4754
4.6139,1.4218,1.4948,,,,1.4754
4.6239,1.4218,1.4948,,,,1.4754
4.6339,1.3971,,,,,1.4754
4.6439,1.3971,,,,,1.4754
4.6539,1.3971,,,,,1.4754
4.6639,1.3971,,,,,1.4754
4.6739,1.3725,,,,,1.4754
4.6839,1.3725,,,,,1.4754
4.6939,1.3725,,,,,1.3778
4.7039,1.3481,,,,,1.3778
4.7139,1.3481,,,,,1.3778
4.7239,1.3481,,,,,1.3778
4.7339,1.3235,,,,,1.3778
4.7439,1.3235,,,1.3999,,1.3778
4.7539,1.3235,,,1.3999,,1.3778
4.7639,1.3235,,,1.3999,,1.3778
4.7739,1.299,,1.3012,1.3999,,1.3778
4.7839,1.299,,1.3012,,,1.3778
4.7939,1.299,,1.3012,,,1.3778
4.8039,1.2744,,1.2702,,,1.3778
4.8139,1.2744,,1.2702,,,1.3778
4.8239,1.2744,,1.2702,,,1.2692
4.8339,1.2496,,1.2409,,,1.2692
4.8439,1.2496,,1.2409,,,1.2692
4.8539,1.2496,,1.2409,,,1.2692
4.8639,1.2496,,1.2409,,,1.2692
4.8739,1.2247,,1.2382,,,1.2692
4.8839,1.2247,,1.2382,1.2455,,1.2692
