,timestamp,distance_tracker,distance_wheelchair_FT,distance_wheelchair_v5,distance_drone_FT,distance_drone_v5,distance_range
0,4.1235,2.4023,,,2.745,,
1,4.1335,2.4023,,,2.745,,
2,4.1435,2.3856,,,2.745,,
3,4.1535,2.3856,,,2.745,,
4,4.1635,2.3856,,,2.726,,
5,4.1735,2.37,,,2.726,,
6,4.1835,2.37,,,2.726,,
7,4.1935,2.37,,,2.726,,
8,4.2035,2.3553,,,2.7136,,
9,4.2135,2.3553,,,2.7136,,
10,4.2235,2.3553,,,2.7136,,
11,4.2335,2.3413,,,2.6964,,
12,4.2435,2.3413,,,2.6964,,
13,4.2535,2.3413,,,2.6964,,
14,4.2635,2.3413,,,2.6964,,
15,4.2735,2.3276,,,2.6492,,
16,4.2835,2.3276,,,2.6492,,
17,4.2935,2.3276,,,2.6492,,
18,4.3035,2.3138,,,2.6209,,
19,4.3135,2.3138,,,2.6209,,
20,4.3235,2.3138,,,2.6209,,
21,4.3335,2.2994,,,2.6152,,
22,4.3435,2.2994,,,2.6152,,
23,4.3535,2.2994,,,2.6152,,
24,4.3635,2.2994,,,2.5977,,
25,4.3735,2.2845,,,2.5977,,
26,4.3835,2.2845,,,2.5977,,
27,4.3935,2.2845,,,2.5977,,
28,4.4035,2.2687,,,2.5836,,
29,4.4135,2.2687,,,2.5836,,
30,4.4235,2.2687,,,2.5836,,
31,4.4335,2.2523,,,2.577,,
32,4.4435,2.2523,,,2.577,,
33,4.4535,2.2523,,,2.577,,
34,4.4635,2.2523,,,2.5667,,
35,4.4735,2.2354,,,2.5667,,
36,4.4835,2.2354,,,2.5667,,
37,4.4935,2.2354,,,2.5667,,
38,4.5035,2.2182,,,2.5467,,
39,4.5135,2.2182,,,2.5467,,
40,4.5235,2.2182,,,2.5467,,
41,4.5335,2.201,,,2.5467,,
42,4.5435,2.201,,,2.5281,,
43,4.5535,2.201,,,2.5281,,
44,4.5635,2.201,,,2.5281,,
45,4.5735,2.1841,,,2.4979,,
46,4.5835,2.1841,,,2.4979,,
47,4.5935,2.1841,,,2.4979,,
48,4.6035,2.1676,,,2.4605,,
49,4.6135,2.1676,,,2.4605,,
50,4.6235,2.1676,2.1836,,2.4605,,
51,4.6335,2.1514,2.1836,,2.4332,,
52,4.6435,2.1514,2.1836,,2.4332,,
53,4.6535,2.1514,,,2.4332,,
54,4.6635,2.1514,,,,,
55,4.6735,2.1359,,,,,
56,4.6835,2.1359,,,,,
57,4.6935,2.1359,,,,,
58,4.7035,2.1209,,,,,
59,4.7135,2.1209,,,,,
60,4.7235,2.1209,,,2.3888,,
61,4.7335,2.1209,,,2.3888,,
62,4.7435,2.1063,,,2.3888,,
63,4.7535,2.1063,,,2.3888,,
64,4.7635,2.1063,,,2.3396,,
65,4.7735,2.0917,,,2.3396,,
66,4.7835,2.0917,,,2.3396,,
67,4.7935,2.0917,,,2.3101,,
68,4.8035,2.0772,,,2.3101,,
69,4.8135,2.0772,,,2.3101,,
70,4.8235,2.0772,,,2.3101,,
71,4.8335,2.0772,,,2.2925,,
72,4.8435,2.0624,,,2.2925,,
73,4.8535,2.0624,,,2.2925,,
74,4.8635,2.0624,,,2.2814,,
75,4.8735,2.0473,,,2.2814,,
76,4.8835,2.0473,,,2.2814,,
77,4.8935,2.0473,,,2.2814,,
78,4.9035,2.0317,,,2.271,,
79,4.9135,2.0317,,,2.271,,
80,4.9235,2.0317,,,2.271,,
81,4.9335,2.0158,,,2.2512,,
82,4.9435,2.0158,,,2.2512,,
83,4.9535,2.0158,,,2.2512,,
84,4.9635,2.0158,,,2.2338,,
85,4.9735,1.9997,,,2.2338,,
86,4.9835,1.9997,,,2.2338,,
87,4.9935,1.9997,,,2.2569,,
88,5.0035,1.9835,,,2.2569,,
89,5.0135,1.9835,,,2.2569,,
90,5.0235,1.9835,,,2.2569,,
91,5.0335,1.9675,,,2.2476,,
92,5.0435,1.9675,,,2.2476,,
93,5.0535,1.9675,1.9101,,2.2476,,
94,5.0635,1.9675,1.9101,,2.2153,,
95,5.0735,1.9512,1.9101,,2.2153,,
96,5.0835,1.9512,1.9066,,2.2153,,
97,5.0935,1.9512,1.9066,,2.2153,,1.9544
98,5.1035,1.9355,1.9066,,2.1831,,1.9544
99,5.1135,1.9355,1.9066,,2.1831,,1.9544
100,5.1235,1.9355,1.908,,2.1831,,1.9544
101,5.1335,1.9355,1.908,,2.1512,,1.9544
102,5.1435,1.9202,1.908,,2.1512,,1.9544
103,5.1535,1.9202,,,2.1512,,1.9544
104,5.1635,1.9202,,,2.1682,,1.9544
105,5.1735,1.9049,,,2.1682,,1.9544
106,5.1835,1.9049,,,2.1682,,1.9544
107,5.1935,1.9049,,,2.1682,,1.9544
