timestamp,distance_tracker,distance_wheelchair_FT,distance_wheelchair_v5,distance_drone_FT,distance_drone_v5,distance_range
3.7435,2.569,2.778,,3.001,,
3.7535,2.569,2.7704,,3.001,,
3.7635,2.569,2.7704,,3.0012,,
3.7735,2.5629,2.7704,,3.0012,,
3.7835,2.5629,2.7496,,3.0012,,
3.7935,2.5629,2.7496,,3.0012,,
3.8035,2.5542,2.7496,,2.9996,,
3.8135,2.5542,2.7496,,2.9996,,
3.8235,2.5542,2.7246,,2.9996,,
3.8335,2.5426,2.7246,,2.9876,,
3.8435,2.5426,2.7246,,2.9876,,
3.8535,2.5426,2.7004,,2.9876,,
3.8635,2.5426,2.7004,,2.9737,,
3.8735,2.5287,2.7004,,2.9737,,
3.8835,2.5287,2.6943,,2.9737,,
3.8935,2.5287,2.6943,,2.9737,,
3.9035,2.513,2.6943,,2.9625,,
3.9135,2.513,2.6943,,2.9625,,
3.9235,2.513,2.6844,,2.9552,,
3.9335,2.4956,2.6844,,2.9552,,
3.9435,2.4956,2.6844,,2.9552,,
3.9535,2.4956,2.6314,,2.9552,,
3.9635,2.4956,2.6314,,2.9516,,
3.9735,2.4771,2.6314,,2.9516,,
3.9835,2.4771,2.5865,,2.9516,,
3.9935,2.4771,2.5865,,2.9516,,
4.0035,2.458,2.5865,,2.9516,,
4.0135,2.458,2.5865,,2.927,,
4.0235,2.458,2.5865,,2.927,,
4.0335,2.458,2.5651,,2.8948,,
4.0435,2.4387,2.5651,,2.8948,,
4.0535,2.4387,2.5335,,2.8948,,
4.0635,2.4387,2.5335,,2.8814,,
4.0735,2.4201,2.5335,,2.8814,,
4.0835,2.4201,2.4957,,2.8814,,
4.0935,2.4201,2.4957,,2.8814,,
4.1035,2.4023,2.4957,,2.8667,,
4.1135,2.4023,2.4957,,2.8667,,
4.1235,2.4023,2.4774,,2.8373,,
4.1335,2.4023,2.4774,,2.8373,,
4.1435,2.3856,2.4774,,2.8373,,
4.1535,2.3856,2.4906,,2.8373,,
4.1635,2.3856,2.4906,,2.8078,,
4.1735,2.37,2.4906,,2.8078,,
4.1835,2.37,2.4953,,2.8078,,
4.1935,2.37,2.4953,,2.8078,,
4.2035,2.3553,2.4953,,2.7839,,
4.2135,2.3553,2.4953,,2.7839,,
4.2235,2.3553,2.4707,,2.7839,,
4.2335,2.3413,2.4707,,2.7641,,
