timestamp,distance_tracker,distance_wheelchair_FT,distance_wheelchair_v5,distance_drone_FT,distance_drone_v5,distance_range
2.497,2.5376,,,2.7883,,
2.507,2.5294,,,2.7883,,
2.517,2.5294,,,2.7883,,
2.527,2.5294,,,2.7883,,
2.537,2.5183,,,2.7773,,
2.547,2.5183,,,2.7773,,
2.557,2.5183,,,2.7773,,
2.567,2.5183,,,2.8058,,
2.577,2.5045,,,2.8058,,
2.587,2.5045,,,2.8058,,
2.597,2.5045,,,2.8058,,
2.607,2.488,,,2.8075,,
2.617,2.488,,,2.8075,,
2.627,2.488,,,2.8075,,
2.637,2.4687,,,2.802,,
2.647,2.4687,,,2.802,,
2.657,2.4687,,,2.802,,
2.667,2.4469,,,2.8184,,
2.677,2.4469,,,2.8184,,
2.687,2.4469,,,2.8184,,
2.697,2.4469,,,2.8128,,
2.707,2.4231,,,2.8128,,
2.717,2.4231,,,2.8128,,
2.727,2.4231,,,2.8128,,
2.737,2.3974,,,2.8081,,
2.747,2.3974,,,2.8081,,
2.757,2.3974,,,2.8081,,
2.767,2.3974,,,2.8059,,
2.777,2.3699,,,2.8059,,
2.787,2.3699,,,2.8059,,
2.797,2.3699,,,2.8059,,
2.807,2.3414,,,2.7694,,
2.817,2.3414,,,2.7694,,
2.827,2.3414,,,2.7694,,
2.837,2.3122,,,2.7204,,
2.847,2.3122,,,2.7204,,
2.857,2.3122,,,2.7204,,
2.867,2.3122,,,2.6657,,
2.877,2.2833,,,2.6657,,
2.887,2.2833,,,2.6657,,
2.897,2.2833,,,2.6657,,
2.907,2.2546,,,2.6352,,
2.917,2.2546,,,2.6352,,
2.927,2.2546,,,2.6352,,
2.937,2.227,,,2.6352,,
2.947,2.227,,,2.6403,,
2.957,2.227,,,2.6403,,
2.967,2.227,,,2.6362,,
2.977,2.2004,,,2.6362,,
2.987,2.2004,,,2.6362,,
2.997,2.2004,,,2.5989,,
3.007,2.1749,,,2.5989,,
3.017,2.1749,2.2551,,2.5989,,
3.027,2.1749,2.2551,,2.5989,,
3.037,2.1505,2.2551,,2.5452,,
3.047,2.1505,2.2551,,2.5452,,
3.057,2.1505,2.2551,,2.5452,,
3.067,2.1265,2.218,,2.5452,,
3.077,2.1265,2.218,,2.473,,
3.087,2.1265,2.2204,,2.473,,
3.097,2.1265,2.2204,,2.473,,
3.107,2.1028,2.2204,,2.4172,,
3.117,2.1028,2.2425,,2.4172,,
3.127,2.1028,2.2425,,2.4172,,
3.137,2.0788,2.2425,,2.4111,,
3.147,2.0788,2.2425,,2.4111,,
3.157,2.0788,2.2533,,2.4111,,
3.167,2.0788,2.2533,,2.4111,,
3.177,2.0543,2.2533,,2.4186,,
3.187,2.0543,2.1994,,2.4186,,
3.197,2.0543,2.1994,,2.4053,,
3.207,2.0292,2.1994,,2.4053,,
3.217,2.0292,2.1994,,2.4053,,
3.227,2.0292,2.163,,2.3844,,
3.237,2.0034,2.163,,2.3844,,
3.247,2.0034,2.163,,2.3844,,
3.257,2.0034,2.1305,,2.3844,,
3.267,2.0034,2.1305,,2.3772,,
3.277,1.9771,2.1305,,2.3772,,
3.287,1.9771,2.1305,,2.3772,,
3.297,1.9771,2.1305,,2.3248,,
3.307,1.9504,2.097,,2.3248,,
3.317,1.9504,2.097,,2.3248,,
3.327,1.9504,2.1062,,2.2442,,
3.337,1.9235,2.1062,,2.2442,,
3.347,1.9235,2.1062,,2.2442,,
3.357,1.9235,2.1,,2.2442,,
3.367,1.9235,2.1,,2.2286,,
3.377,1.8968,2.1,,2.2286,,
