,timestamp,distance_tracker,distance_wheelchair_FT,distance_wheelchair_v5,distance_drone_FT,distance_drone_v5,distance_range
0,2.5268,2.4589,,,2.8684,,
1,2.5368,2.4347,,,2.8684,,
2,2.5468,2.4347,,,2.8684,,
3,2.5568,2.4347,,,2.9727,,
4,2.5668,2.4091,,,2.9727,,
5,2.5768,2.4091,2.4826,,2.9727,,
6,2.5868,2.4091,2.4826,,2.9458,,
7,2.5968,2.4091,2.4826,,2.9458,,
8,2.6068,2.382,2.5165,,2.9458,,
9,2.6168,2.382,2.5165,,2.8482,,
10,2.6268,2.382,2.5165,,2.8482,,
11,2.6368,2.354,2.4793,,2.8482,,
12,2.6468,2.354,2.4793,,2.8482,,
13,2.6568,2.354,2.4793,,2.7551,,
14,2.6668,2.3255,2.4793,,2.7551,,
15,2.6768,2.3255,2.3915,,2.7551,,
16,2.6868,2.3255,2.3915,,2.7551,,
17,2.6968,2.3255,2.3915,,2.6859,,
18,2.7068,2.2973,,,2.6859,,
19,2.7168,2.2973,,,2.6859,,
20,2.7268,2.2973,,,2.6624,,
21,2.7368,2.2694,,,2.6624,,
22,2.7468,2.2694,,,2.6624,,
23,2.7568,2.2694,,,2.6624,,
24,2.7668,2.2424,,,2.6407,,
25,2.7768,2.2424,,,2.6407,,
26,2.7868,2.2424,,,2.6862,,
27,2.7968,2.2424,,,2.6862,,
28,2.8068,2.2163,,,2.6862,,
29,2.8168,2.2163,,,2.6862,,
30,2.8268,2.2163,,,2.6454,,
31,2.8368,2.1913,,,2.6454,,
32,2.8468,2.1913,2.2941,,2.6454,,
33,2.8568,2.1913,2.2941,,2.5575,,
34,2.8668,2.1669,2.2941,,2.5575,,
35,2.8768,2.1669,2.2644,,2.5575,,
36,2.8868,2.1669,2.2644,,2.5362,,
37,2.8968,2.1669,2.2644,,2.5362,,
38,2.9068,2.1431,2.2613,,2.5362,,
39,2.9168,2.1431,2.2613,,2.5362,,
40,2.9268,2.1431,2.2613,,2.4896,,
41,2.9368,2.1195,2.2613,,2.4896,,
42,2.9468,2.1195,2.322,,2.4896,,
43,2.9568,2.1195,2.322,,2.4403,,
44,2.9668,2.0958,2.322,,2.4403,,
45,2.9768,2.0958,2.2881,,2.4403,,
46,2.9868,2.0958,2.2881,,2.458,,
47,2.9968,2.0958,2.2881,,2.458,,
48,3.0068,2.0717,2.2165,,2.458,,
49,3.0168,2.0717,2.2165,,2.458,,
50,3.0268,2.0717,2.2165,,2.4859,,
51,3.0368,2.0469,2.1912,,2.4859,,
52,3.0468,2.0469,2.1912,,2.4859,,
53,3.0568,2.0469,2.1912,,2.4859,,
54,3.0668,2.0215,2.1912,,2.4412,,
55,3.0768,2.0215,2.1457,,2.4412,,
56,3.0868,2.0215,2.1457,,2.4412,,
57,3.0968,2.0215,2.1457,,2.3795,,
58,3.1068,1.9958,2.0807,,2.3795,,
59,3.1168,1.9958,2.0807,,2.367,,
60,3.1268,1.9958,2.0807,,2.367,,
61,3.1368,1.9696,2.0807,,2.367,,
62,3.1468,1.9696,2.0807,,2.367,,
63,3.1568,1.9696,2.0439,,2.367,,
64,3.1668,1.9696,2.0439,,2.3767,,
65,3.1768,1.9434,2.0079,,2.3767,,
66,3.1868,1.9434,2.0079,,2.333,,
67,3.1968,1.9434,2.0079,,2.333,,
68,3.2068,1.9171,2.0079,,2.333,,
69,3.2168,1.9171,2.0316,,2.333,,
70,3.2268,1.9171,2.0316,,2.2679,,
71,3.2368,1.8911,2.0316,,2.2679,,
72,3.2468,1.8911,,,2.2679,,
73,3.2568,1.8911,,,2.2013,,
74,3.2668,1.8653,,,2.2013,,
75,3.2768,1.8653,,,2.2013,,
76,3.2868,1.8653,,,2.1645,,
77,3.2968,1.8653,,,2.1645,,
78,3.3068,1.84,,,2.1645,,
79,3.3168,1.84,,,2.1645,,
80,3.3268,1.84,,,2.1271,,
81,3.3368,1.8152,,,2.1271,,
82,3.3468,1.8152,,,2.1271,,
83,3.3568,1.8152,,,2.0962,,
84,3.3668,1.7907,,,2.0962,,
85,3.3768,1.7907,,,2.0962,,
86,3.3868,1.7907,,,2.1336,,
87,3.3968,1.7907,,,2.1336,,
88,3.4068,1.7664,,,2.1336,,
89,3.4168,1.7664,,,2.0916,,
90,3.4268,1.7664,,,2.0916,,
91,3.4368,1.7425,,,2.0916,,
92,3.4468,1.7425,,,2.0916,,
93,3.4568,1.7425,,,2.0916,,
94,3.4668,1.7425,,,2.0336,,
95,3.4768,1.7185,,,2.0336,,
96,3.4868,1.7185,,,2.0063,,
97,3.4968,1.7185,,,2.0063,,
98,3.5068,1.6943,,,2.0063,,
99,3.5168,1.6943,,,1.9471,,
100,3.5268,1.6943,,,1.9471,,
101,3.5368,1.6699,,,1.9471,,
102,3.5468,1.6699,,,1.9471,,
103,3.5568,1.6699,,,1.9471,,1.927
104,3.5668,1.6454,,,1.9016,,1.927
105,3.5768,1.6454,,,1.9016,,1.927
106,3.5868,1.6454,,,1.859,,1.927
107,3.5968,1.6454,,,1.859,,1.927
108,3.6068,1.6206,,,1.859,,1.927
109,3.6168,1.6206,,,1.859,,1.927
110,3.6268,1.6206,,,1.8416,,1.927
111,3.6368,1.5958,,,1.8416,,1.927
112,3.6468,1.5958,,,1.8416,,1.927
113,3.6568,1.5958,,,1.8105,,1.6438
114,3.6668,1.5708,,,1.8105,,1.6438
115,3.6768,1.5708,,,1.8105,,1.6438
116,3.6868,1.5708,,,1.7437,,1.6438
117,3.6968,1.5708,,,1.7437,,1.6438
118,3.7068,1.546,,,1.7437,,1.6438
119,3.7168,1.546,,,1.7437,,1.6438
120,3.7268,1.546,,,1.7014,,1.6438
121,3.7368,1.5214,,,1.7014,,1.6438
122,3.7468,1.5214,,,1.7014,,1.6438
123,3.7568,1.5214,,,1.6894,,1.6438
124,3.7668,1.4971,,,1.6894,,1.6438
125,3.7768,1.4971,,,1.6894,,1.4916
126,3.7868,1.4971,,,1.6815,,1.4916
127,3.7968,1.4971,,,1.6815,,1.4916
128,3.8068,1.4729,,,1.6815,,1.4916
129,3.8168,1.4729,,,1.6815,,1.4916
130,3.8268,1.4729,,,1.6294,,1.4916
131,3.8368,1.449,,,1.6294,,1.4916
132,3.8468,1.449,,,1.6294,,1.4916
133,3.8568,1.449,,,1.5569,,1.4916
134,3.8668,1.449,,,1.5569,,1.4916
135,3.8768,1.4255,,,1.5569,,1.3808
136,3.8868,1.4255,,,1.5489,,1.3808
137,3.8968,1.4255,,,1.5489,,1.3808
138,3.9068,1.4023,,,1.5489,,1.3808
139,3.9168,1.4023,,,1.5597,,1.3808
140,3.9268,1.4023,,,1.5597,,1.3808
141,3.9368,1.3793,,,1.5597,,1.3808
142,3.9468,1.3793,,,1.5597,,1.3808
143,3.9568,1.3793,,,1.5477,,1.3808
144,3.9668,1.3564,,,1.5477,,1.3808
145,3.9768,1.3564,,,1.5477,,1.3808
146,3.9868,1.3564,,,1.5068,,1.3808
147,3.9968,1.3564,,,1.5068,,1.285
148,4.0068,1.3335,,,1.5068,,1.285
149,4.0168,1.3335,,,1.4593,,1.285
150,4.0268,1.3335,,,1.4593,,1.285
151,4.0368,1.3105,,,1.4593,,1.285
152,4.0468,1.3105,,,1.4593,,1.285
153,4.0568,1.3105,,,1.4344,,1.285
154,4.0668,1.2875,,,1.4344,,1.285
155,4.0768,1.2875,,,1.4344,,1.285
156,4.0868,1.2875,,,1.4155,,1.285
157,4.0968,1.2875,,,1.4155,,1.1936
158,4.1068,1.2646,,,1.4155,,1.1936
159,4.1168,1.2646,,,1.3927,,1.1936
160,4.1268,1.2646,,,1.3927,,1.1936
161,4.1368,1.2417,,,1.3927,,1.1936
162,4.1468,1.2417,,,1.3927,,1.1936
163,4.1568,1.2417,,,1.3806,,1.1936
164,4.1668,1.2189,,,1.3806,,1.1936
165,4.1768,1.2189,,,1.3806,,1.1936
166,4.1868,1.2189,,,1.3089,,1.1936
167,4.1968,1.2189,,,1.3089,,1.1936
168,4.2068,1.1963,,,1.3089,,1.0922
169,4.2168,1.1963,,,1.2417,,1.0922
170,4.2268,1.1963,,,1.2417,,1.0922
171,4.2368,1.174,,,1.2417,,1.0922
172,4.2468,1.174,,,1.2417,,1.0922
173,4.2568,1.174,,,1.2342,,1.0922
